term_str,PC1,PC2,PC3,PC4,PC5
abner,0.0006554544956686321,-6.411970866916182e-05,-0.00024765332666138037,-0.0005688666237199003,-0.0014750493189963376
abnormal,-0.0014635819057645105,0.001681969270467624,-0.0002414413392489146,-0.00027564551952389795,-0.0004882072589672518
abnormally,-0.00016979710798796613,-0.00013309677239021385,-0.00011290176388276192,0.00010335054489368736,-8.655088518018985e-05
abo,-0.0010969060874077815,0.003215742541934666,0.0009482249526613987,0.00030942552698450405,-0.0002487308137985732
aboard,0.0026014824226517144,-0.011292649047778793,0.011703273550068248,0.010887917048449198,-0.012404319997550243
abode,0.002473177266451913,-3.0343755602389272e-05,0.00032678224261713864,-0.0006306672255160951,-0.0014431496113575565
abolish,-0.0011881524021547401,-0.0004509713755492846,0.0008410739574125314,-0.0003508222708620818,0.0010802937253354416
abolished,-0.0022903563780100043,-0.001257152625537315,-0.002934332399490388,-0.0031768964708603193,0.004234747735156438
abolition,-0.0007301118651003737,0.0005571083198481028,-0.0003699770890003901,-0.0003262586111047903,0.0003001478266802435
abolitionist,1.2846761921312414e-06,-9.258216892619301e-06,-3.002284329127141e-05,-7.24417540614677e-05,-3.33483352533198e-05
abominable,-0.00021372154695428194,-0.0008409107937106619,0.0016159319277277036,2.2407418214696178e-05,-0.0001294882178732999
abominably,-0.0008911243600875703,-0.0006014222253294389,-0.0007971980254315002,-0.0010358645723429682,0.001268962240765449
abomination,-0.0006428529256483299,-7.2096603396083645e-06,0.002019252414316781,0.0002756619705388624,9.70838244340861e-05
aboriginal,-0.00022941847294739658,-0.0004609833461892833,0.0008860856112007449,8.693023344095643e-05,5.908186915864996e-05
aborigine,0.000173443950760696,-9.307744678318174e-05,-0.00013241362921252522,-1.076815489285073e-05,-0.0007504526037339131
abortion,-0.00016606773474485948,-0.00015345441543421792,-0.0001910627052801609,-5.77482812437532e-05,6.567716575125868e-05
abortive,-0.000257749756426457,0.0006934201758316458,0.00020391510081119513,7.330974348196909e-05,-0.00016527476472027991
abound,0.0006468689884171322,9.537696320836789e-05,-1.534237443119739e-05,-8.082687452746404e-05,-0.00044273040530290773
